,id,name,department,aisle,price
0,1,Chocolate Sandwich Cookies,snacks,cookies cakes,3.5
1,2,All-Seasons Salt,pantry,spices seasonings,4.99
2,3,Robust Golden Unsweetened Oolong Tea,beverages,tea,2.49
3,4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,frozen,frozen meals,6.99
4,5,Green Chile Anytime Sauce,pantry,marinades meat preparation,7.99
5,6,Dry Nose Oil,personal care,cold flu allergy,21.99
6,7,Pure Coconut Water With Orange,beverages,juice nectars,3.5
7,8,Cut Russet Potatoes Steam N' Mash,frozen,frozen produce,4.25
8,9,Light Strawberry Blueberry Yogurt,dairy eggs,yogurt,6.5
9,10,Sparkling Orange Juice & Prickly Pear Beverage,beverages,water seltzer sparkling water,2.99
10,11,Peach Mango Juice,beverages,refrigerated,1.99
11,12,Chocolate Fudge Layer Cake,frozen,frozen dessert,18.5
12,13,Saline Nasal Mist,personal care,cold flu allergy,16.0
13,14,Fresh Scent Dishwasher Cleaner,household,dish detergents,4.99
14,15,Overnight Diapers Size 6,babies,diapers wipes,25.5
15,16,Mint Chocolate Flavored Syrup,snacks,ice cream toppings,4.5
16,17,Rendered Duck Fat,meat seafood,poultry counter,9.99
17,18,Pizza for One Suprema Frozen Pizza,frozen,frozen pizza,12.5
18,19,Gluten Free Quinoa Three Cheese & Mushroom Blend,dry goods pasta,grains rice dried goods,3.99
19,20,Pomegranate Cranberry & Aloe Vera Enrich Drink,beverages,juice nectars,4.25
